"","position","played_at","track.artists","track.duration_ms","track.explicit","track.id","track.is_local","track.name","track.popularity","track.track_number","track.type","first_genre","user","gender","age","accousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","valence"
"1",0,"2025-10-1T01:00:00:000Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1vJHfCreWAS46V8RZ67ojo'}, 'href': 'https://api.spotify.com/v1/artists/1vJHfCreWAS46V8RZ67ojo', 'id': '1vJHfCreWAS46V8RZ67ojo', 'name': 'Ben Klock', 'type': 'artist', 'uri': 'spotify:artist:1vJHfCreWAS46V8RZ67ojo'}]",383972,FALSE,"7p6oXzBSPAXXz8Xb8gBPki",FALSE,"Subzero - Original Mix",45,2,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.588","0.793","0.608","0.861","6","0.0991","-11.638","0","0.0673","124.988","0.118"
"2",1,"2025-10-1T02:00:00:000Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb'}, 'href': 'https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb', 'id': '64M6ah0SkkRsnPGtGiRAbb', 'name': 'Bebe Rexha', 'type': 'artist', 'uri': 'spotify:artist:64M6ah0SkkRsnPGtGiRAbb'}]",175238,TRUE,"4uUG5RXrOk84mYEfFvj3cK",FALSE,"I'm Good (Blue)",85,1,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.00383","0.561","0.965","7.07e-06","7","0.371","-3.673","0","0.0343","128.04","0.304"
"3",51,"2025-12-16T16:46:00.424Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb'}, 'href': 'https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb', 'id': '64M6ah0SkkRsnPGtGiRAbb', 'name': 'Bebe Rexha', 'type': 'artist', 'uri': 'spotify:artist:64M6ah0SkkRsnPGtGiRAbb'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5'}, 'href': 'https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5', 'id': '1vyhD5VmyZ7KMfW5gqLgo5', 'name': 'J Balvin', 'type': 'artist', 'uri': 'spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5'}]",198946,FALSE,"4wqIXeDppYSMXaWsnTzpzT",FALSE,"Say My Name",70,5,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.137","0.703","0.66","0","10","0.192","-5.119","0","0.123","95.033","0.79"
"4",50,"2025-12-16T15:29:59.461Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4Ws2otunReOa6BbwxxpCt6'}, 'href': 'https://api.spotify.com/v1/artists/4Ws2otunReOa6BbwxxpCt6', 'id': '4Ws2otunReOa6BbwxxpCt6', 'name': 'Benny Benassi', 'type': 'artist', 'uri': 'spotify:artist:4Ws2otunReOa6BbwxxpCt6'}]",155676,FALSE,"0lwyzp7GppQxv0Eu6wRkUo",FALSE,"Satisfaction",71,1,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.0742","0.752","0.935","0.0352","11","0.081","-6.263","1","0.203","126.022","0.31"
"5",49,"2025-12-16T15:29:52.132Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}]",267866,FALSE,"0FDzzruyVECATHXKHFs9eJ",FALSE,"A Sky Full of Stars",86,8,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.00617","0.545","0.675","0.00197","6","0.209","-6.474","1","0.0279","124.97","0.162"
"6",48,"2025-12-16T15:29:48.863Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q'}, 'href': 'https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q', 'id': '53XhwfbYqKCa1cC15pYq2q', 'name': 'Imagine Dragons', 'type': 'artist', 'uri': 'spotify:artist:53XhwfbYqKCa1cC15pYq2q'}]",165264,FALSE,"54ipXppHLA8U4yqpOFTUhr",FALSE,"Bones",82,1,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.0201","0.772","0.75","0","5","0.074","-3.67","0","0.0455","114.061","0.587"
"7",47,"2025-12-16T15:29:38.425Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1sxHp39RqBEE01pgVqsdyP'}, 'href': 'https://api.spotify.com/v1/artists/1sxHp39RqBEE01pgVqsdyP', 'id': '1sxHp39RqBEE01pgVqsdyP', 'name': 'Marcel Dettmann', 'type': 'artist', 'uri': 'spotify:artist:1sxHp39RqBEE01pgVqsdyP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1vJHfCreWAS46V8RZ67ojo'}, 'href': 'https://api.spotify.com/v1/artists/1vJHfCreWAS46V8RZ67ojo', 'id': '1vJHfCreWAS46V8RZ67ojo', 'name': 'Ben Klock', 'type': 'artist', 'uri': 'spotify:artist:1vJHfCreWAS46V8RZ67ojo'}]",241987,FALSE,"7sgNTIMjlnHb1uUGBR0PlT",FALSE,"Bad Boy",35,5,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.000152","0.795","0.761","0.927","1","0.11","-11.779","1","0.0609","130.006","0.738"
"8",46,"2025-12-16T15:29:34.594Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1vJHfCreWAS46V8RZ67ojo'}, 'href': 'https://api.spotify.com/v1/artists/1vJHfCreWAS46V8RZ67ojo', 'id': '1vJHfCreWAS46V8RZ67ojo', 'name': 'Ben Klock', 'type': 'artist', 'uri': 'spotify:artist:1vJHfCreWAS46V8RZ67ojo'}]",444328,FALSE,"2fHh8rJLuuui0SO4K5pk3A",FALSE,"Before One - Original Mix",25,3,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.0528","0.839","0.561","0.845","7","0.14","-14.322","1","0.0453","127.996","0.597"
"9",45,"2025-12-16T15:29:16.875Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XdrSXGCK9KeWzLbz5Qqhl'}, 'href': 'https://api.spotify.com/v1/artists/4XdrSXGCK9KeWzLbz5Qqhl', 'id': '4XdrSXGCK9KeWzLbz5Qqhl', 'name': '747', 'type': 'artist', 'uri': 'spotify:artist:4XdrSXGCK9KeWzLbz5Qqhl'}]",421896,FALSE,"7A1YcSeFJpLTHybu78qgT9",FALSE,"Aurora Centralis",37,1,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.252","0.649","0.527","0.869","5","0.112","-13.734","0","0.0322","128.017","0.0399"
"10",44,"2025-12-16T15:29:04.543Z","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2qSEpijpT3YSXgxcXac1ly'}, 'href': 'https://api.spotify.com/v1/artists/2qSEpijpT3YSXgxcXac1ly', 'id': '2qSEpijpT3YSXgxcXac1ly', 'name': 'Chris Willis', 'type': 'artist', 'uri': 'spotify:artist:2qSEpijpT3YSXgxcXac1ly'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2oBWpcv8MNPflTzyxZ8zVU'}, 'href': 'https://api.spotify.com/v1/artists/2oBWpcv8MNPflTzyxZ8zVU', 'id': '2oBWpcv8MNPflTzyxZ8zVU', 'name': 'Fred Riesterer', 'type': 'artist', 'uri': 'spotify:artist:2oBWpcv8MNPflTzyxZ8zVU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4EhiIwwMPecLznwn87sRw2'}, 'href': 'https://api.spotify.com/v1/artists/4EhiIwwMPecLznwn87sRw2', 'id': '4EhiIwwMPecLznwn87sRw2', 'name': 'Joachim Garraud', 'type': 'artist', 'uri': 'spotify:artist:4EhiIwwMPecLznwn87sRw2'}]",199386,FALSE,"2MGRnjJc7C0z3EOEWRqcMw",FALSE,"Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix",71,13,"track",3,"19befa2d20a544b3819a1236cf7536c4_Harsh1","F",20,"0.0331","0.773","0.813","3.77e-05","4","0.192","-4.609","0","0.0797","127.93","0.707"
